n,threads,seq_time,par_time,speedup,efficiency,cost,
1000,1,0.004551,0.0072,0.632139,0.632139,0.0072,
1000,2,0.004551,0.0398,0.114357,0.057178,0.0796,
1000,4,0.004551,0.04,0.113785,0.028446,0.16,
1000,8,0.004551,0.064,0.071116,0.008889,0.512,
5000,1,0.113279,0.096,1.179994,1,0.096,
5000,2,0.113279,0.1654,0.684882,0.342441,0.3308,
5000,4,0.113279,0.2012,0.563019,0.140755,0.8048,
5000,8,0.113279,0.317,0.357348,0.044669,2.536,
10000,1,0.501972,0.3788,1.325164,1,0.3788,
10000,2,0.501972,0.438,1.146055,0.573028,0.876,
10000,4,0.501972,0.4296,1.168464,0.292116,1.7184,
10000,8,0.501972,0.6608,0.759643,0.094955,5.2864,
20000,1,2.105273,1.4032,1.500337,1,1.4032,
20000,2,2.105273,1.2316,1.70938,0.85469,2.4632,
20000,4,2.105273,1.018,2.068048,0.517012,4.072,
20000,8,2.105273,1.265,1.664247,0.208031,10.12,
