n;threads;seq_time;par_time;speedup;efficiency;cost
1000;1;0.000234;0.000400;0.584723;0.584723;0.000400
1000;2;0.000234;0.000600;0.389831;0.194915;0.001200
1000;4;0.000234;0.000200;1.169585;0.292396;0.000800
1000;8;0.000234;0.002200;0.106319;0.013290;0.017600
5000;1;0.001757;0.002200;0.798770;0.798770;0.002200
5000;2;0.001757;0.002600;0.675876;0.337938;0.005200
5000;4;0.001757;0.001800;0.976260;0.244065;0.007200
5000;8;0.001757;0.005600;0.313801;0.039225;0.044800
10000;1;0.004934;0.004000;1.233536;1.000000;0.004000
10000;2;0.004934;0.005800;0.850713;0.425356;0.011600
10000;4;0.004934;0.005000;0.986824;0.246706;0.020000
10000;8;0.004934;0.004200;1.174787;0.146848;0.033600
20000;1;0.014755;0.009800;1.505580;1.000000;0.009800
20000;2;0.014755;0.008800;1.676674;0.838337;0.017600
20000;4;0.014755;0.009800;1.505573;0.376393;0.039200
20000;8;0.014755;0.009800;1.505565;0.188196;0.078400
