n;threads;seq_time;par_time;speedup;efficiency;cost
1000;1;0.002958;0.008200;0.360731;0.360731;0.008200
1000;2;0.002958;0.006600;0.448182;0.224091;0.013200
1000;4;0.002958;0.004400;0.672270;0.168068;0.017600
1000;8;0.002958;0.005400;0.547779;0.068472;0.043200
3000;1;0.029001;0.081200;0.357160;0.357160;0.081200
3000;2;0.029001;0.067800;0.427749;0.213875;0.135600
3000;4;0.029001;0.036200;0.801144;0.200286;0.144800
3000;8;0.029001;0.033200;0.873537;0.109192;0.265600
5000;1;0.076918;0.216200;0.355773;0.355773;0.216200
5000;2;0.076918;0.210200;0.365929;0.182964;0.420400
5000;4;0.076918;0.090600;0.848987;0.212247;0.362400
5000;8;0.076918;0.093200;0.825302;0.103163;0.745600
8000;1;0.195392;0.554600;0.352312;0.352312;0.554600
8000;2;0.195392;0.515000;0.379402;0.189701;1.030000
8000;4;0.195392;0.225200;0.867638;0.216909;0.900800
8000;8;0.195392;0.316400;0.617547;0.077193;2.531200
