n;threads;seq_time;par_time;speedup;efficiency;cost
1000;1;0.001849;0.001600;1.155893;1.000000;0.001600
1000;2;0.001849;0.001800;1.027471;0.513735;0.003600
1000;4;0.001849;0.002800;0.660524;0.165131;0.011200
1000;8;0.001849;0.002800;0.660524;0.082566;0.022400
5000;1;0.009789;0.007800;1.254935;1.000000;0.007800
5000;2;0.009789;0.011800;0.829534;0.414767;0.023600
5000;4;0.009789;0.013000;0.752961;0.188240;0.052000
5000;8;0.009789;0.012600;0.776863;0.097108;0.100800
10000;1;0.014246;0.013000;1.095881;1.000000;0.013000
10000;2;0.014246;0.018600;0.765937;0.382969;0.037200
10000;4;0.014246;0.027600;0.516176;0.129044;0.110400
10000;8;0.014246;0.017600;0.809457;0.101182;0.140800
20000;1;0.027848;0.027800;1.001740;1.000000;0.027800
20000;2;0.027848;0.061600;0.452085;0.226042;0.123200
20000;4;0.027848;0.034600;0.804867;0.201217;0.138400
20000;8;0.027848;0.029000;0.960289;0.120036;0.232000
