n;threads;seq_time;par_time;speedup;efficiency;cost
1000;1;0.000121;0.000200;0.603844;0.603844;0.000200
1000;2;0.000121;0.000600;0.201265;0.100633;0.001200
1000;4;0.000121;0.001200;0.100633;0.025158;0.004800
1000;8;0.000121;0.000400;0.301922;0.037740;0.003200
5000;1;0.001804;0.001200;1.503316;1.000000;0.001200
5000;2;0.001804;0.002200;0.819970;0.409985;0.004400
5000;4;0.001804;0.002600;0.693815;0.173454;0.010400
5000;8;0.001804;0.008000;0.225492;0.028186;0.064000
10000;1;0.002329;0.002800;0.831625;0.831625;0.002800
10000;2;0.002329;0.003200;0.727667;0.363834;0.006400
10000;4;0.002329;0.004000;0.582129;0.145532;0.016000
10000;8;0.002329;0.003200;0.727667;0.090958;0.025600
20000;1;0.004516;0.010800;0.418154;0.418154;0.010800
20000;2;0.004516;0.007600;0.594219;0.297110;0.015200
20000;4;0.004516;0.007200;0.627233;0.156808;0.028800
20000;8;0.004516;0.004600;0.981767;0.122721;0.036800
