n;threads;seq_time;par_time;speedup;efficiency;cost
1000;1;0.001864;0.010400;0.179269;0.179269;0.010400
1000;2;0.001864;0.050400;0.036992;0.018496;0.100800
1000;4;0.001864;0.045600;0.040886;0.010221;0.182400
1000;8;0.001864;0.064800;0.028772;0.003596;0.518400
5000;1;0.046315;0.090600;0.511199;0.511199;0.090600
5000;2;0.046315;0.206800;0.223958;0.111979;0.413600
5000;4;0.046315;0.222800;0.207875;0.051969;0.891200
5000;8;0.046315;0.268600;0.172430;0.021554;2.148800
10000;1;0.181046;0.274600;0.659310;0.659310;0.274600
10000;2;0.181046;0.484400;0.373754;0.186877;0.968800
10000;4;0.181046;0.464200;0.390018;0.097505;1.856800
10000;8;0.181046;0.543000;0.333419;0.041677;4.344000
20000;1;0.714962;0.903600;0.791238;0.791238;0.903600
20000;2;0.714962;1.104400;0.647376;0.323688;2.208800
20000;4;0.714962;1.106000;0.646440;0.161610;4.424000
20000;8;0.714962;1.353400;0.528271;0.066034;10.827200
